切れる踏切と	断掉的平交道
気がつけば 君の事 	如果注意到了 你的事情
何度思い出して 	在脑海中无数次的回忆起
眠れぬ夜も 超えて 	度过了无眠的夜晚
ただ虚しくて ただ痛くて 	只是空虚 只是痛苦
動けなくて 苦しいの 	无法行动 痛苦万分
君の温度が そっと冷たくなっていく 	你的温度 悄悄地变得冰冷起来
愛より深い想い	比爱更深的思念
大きくても 私は負けない	再大我也不会认输
産声を上げてる	新的生命诞生了
小さな星に気付いて	发现了那颗小小的星
いちばん暗い時刻は	最黑暗的时刻是
夜明け前	黎明前
七つの海へと	给七大洋
星屑送れば	送上群星
遥かなる 旅路を	群星变成路标
照らし出す 道標に変わる	照亮遥远的旅途
愛より強い想い	比爱更加强烈的思念
わたしを動かしている	将我打动了我
この空と海の青さが	这个天空和大海的蓝
一つになる星のノベル	成为了一体星星的篇章
わたしはわたしのままの	我想要相信
強さを信じていたい	自己的强大
君に向かう 想いは 本物	对你的思念是真的
いちばん好きだから	因为你是我最喜欢的人
いちばんの勇気になろう	所以成为我最大的勇气
旅立つ朝の静寂	启程早晨的寂静
自分との あの約束	和我的那个约定
覚えているでしょう	你还记得吧
記憶の海には	在记忆中的那片海里
今もまだ 二人のぬくもりも	我俩的温度
笑顔も眠ってる	我俩的笑容也都沉睡着
夢のために たたかう	为了梦想抗争
すべての命は光る	生命在闪耀着
この空と海が奏でる	这片天空和海在演奏着
青い音色	蔚蓝的音乐
星のアリア	星星的咏唱
わたしが わたしでいれば	只要我还是我
なんにも壊れはしない	什么也不会崩坏
星座の見えない夜でも	就算是看不见的星座的夜晚
近付いてる	在接近
その時が来てる	那个时候将至
愛より深い想い	比爱更深的思念
七つの海でうまれた	在七大洋里产生
最後の願いが どんなに	最后的愿望无论
大きくても あきらめない	再大我也不会放弃
わたしはわたしのままの	我想要相信
強さを信じていたい	自己的强大
君に向かう想いは 本物	对你的思念是真的
重なり合う木々の叶から颜を出す	从重叠的树木的叶子里露出容颜
精灵ともだちは今も变わらずここにいるから	精灵们现在也不变的在这里聚集
君の心 仆の心	你的心 我的心
解け合い ひとつになれば奇迹が起るよ	消除隔阂 融为一体 奇迹就会出现
夏の日差しとけそうな心に	夏日的阳光照射 要融化的心里
君がくれたさわやかな风	你带来了清爽的风
心地よいい场所を作りだして	做好了舒适的场所
稳やかな气分にさせてくれる	让我有平静的心情
过去と未来や 町と森とか	过去与未来呀 城镇与森林之类的
背反の中での矛盾	有违反之中的矛盾
现实と梦の狭间に立つ仆等は 每日がそう	站在现实与梦想之间的间隙的我们 每天都
ドキドキの连续 ふたりで行こう	心跳持续 两个人一起走
いたずらして无邪气にただほほ笑む	做着恶作剧 只是天真地微笑
精灵ともだちは今も变わらずここにいるから	精灵们现在也不变的在这里聚集
叶えられる愿いと祈りの声	得到满足的请求与祈祷之声
人と彼らの绊は仆等が	人与人之间的羁绊 我们
系ぐ believe forever	紧紧相连 相信 永远
例えばとても寂しくなったら	比如说如果变得非常寂寞
寄りかかって みても良いかな	那就互相依靠着 看起来也不错吧
仆のよく知ってるこの优しい 感觉にふわり包まれたい	我是非常清楚的 被这种温柔的感觉轻轻地包住
想いがめぐり 折り重なって 心に君が满ちて行く	思念循环 重叠起来 在心里变得满是你
この气持ちだけがまっすぐ伝わるように	只是想把这种心情直接地传达
手を系いで 谁より热いふたりでいよう	牵着手 比谁也要亲热的两个人吧
仆等の爱 祝福してくれてる	我等的爱 给我祝福吧
精灵ともだちは今も变わらずここにいるから	精灵们现在也不变的在这里聚集
何亿年それ以上も前から 生命と生命	几亿年也更要从前面 生命与生命
续いていく鼓动 响いてく鼓动	继续着鼓动 响彻着鼓动
重なり合う木々の叶から颜を出す	从重叠的树木的叶子里露出容颜
精灵ともだちは今も变わらずここにいるから	精灵们现在也不变的在这里聚集
年に一度しか咲かない可怜な この花のように	一年只有一次绽放的可爱的 就像这个花一样
奇迹が起こるよ もっと believe forever	奇迹出现了哟 更加 相信 永远
出逢いはいつも突然だから	相遇总是异常突然
完璧に振る舞えない	所以无法完美应对
気付けばあの日から 君のことを	回过神来从那天起 我就一直
ずっと見つめていた	在关注着你
夜空の向こう 何を想う	夜空的彼端 你在想些什么呢
君は無邪気過ぎて	你太过天真无邪
笑顔はすぐ近くにあるのに	明明那微笑近在眼前
何にも言えない	我却只能哑口无言
明日もまた逢いたいけど	明天也想再见你
繰り返すばかりの日々は切なくなるよ	可这只会周而复始的日常令我感到难过
僕らがまだ知らない未来	我们仍旧还不知晓未来
瞬く星 手を伸ばして	却向闪烁的星辰 伸出手去
零れ落ちそうな欠片 気付いた君 潤む瞳	察觉到似要四散零落的碎片 你湿润了双瞳
はぐらかしたり からかってみたり	时而岔开话题 时而试着调笑
素直になれたら	如果能对你坦诚就好了
明日もまた逢いたいけど	明天也想再见你
繰り返すばかりの日々は切なくなるよ	可这只会周而复始的日常 令我感到难过
運命なら遠回りでも	如果我们命中注定 即使绕了远路
瞬く星 永遠になる	那闪烁的星辰 也会化作永恒
胸焦がす衝動に touch	触碰到我心中焦躁的冲动
君の emotion	你的感情
今は激流の age	你感受到了吗
僕の motion	为了迎击困难连结起的
立ち向かうための 	坚强羁绊
手を取ったら	你准备好了吗
この世界で終わんない夢	那么在这个世界 梦想就不会终结
追いかけ speed up speed up	去追赶 加速加速
孤独な夜を越えて行くんだ	一定能在孤独的黑夜中穿行
未来へ speed up speed up	向着未来 加速加速
走り出した根拠なき思い	奔跑起来了 即便是毫无根据的想法
ねえ どうして	为什么
心が引き裂かれてく	心被疼痛撕裂
痛みは	痛苦是什么
誰にもわからないでしょう	无人知晓
邪魔されても	即使千难万阻
逃げたくない	不会逃跑
戦えるわ	战斗之后
自分を信じて	信心倍增
もう少しも	慢慢来
光が見えないのなら	如果看不见光
自分の心に問いかけてみて	那就问问你自己
後悔なら	如果后悔
受け入れるの	正面迎击
立ち上がって	再次站起来
また愛せるわ	再次与你相爱
心の奥に眠ってた	从沉睡中醒来
私の強さ 解き放って	释放内心的力量
もう怖くない	我不再害怕
また愛せるわ	再次与你相爱
戦えるわ	战斗之后
自分を信じて	信心倍增
その手伸ばして 眩い明日を掴み取れ	伸出你的手来 紧紧抓住每个光辉耀眼的明天
無限の空 羽ばたけ believe in nexus	无限的天空 展翅高飞 believe in nexus
荒ぶる この衝動 誰にも 止めらんない	逐渐加剧的这份冲动 没有任何人能阻止
手に汗にぎる 攻防 高まる このheart beat	让人手心捏把汗的攻防 加速起来的这 heart beat
ビビっちまいそうなバトル 避けられない	无法避免 令人心惊胆跳的战斗
ここで終わらせたくない go for it	不愿到此为止 go for it
立ち上がれ 孤独に怯え震えないで	振作起来吧 不要对孤独颤抖怯懦
仲間が待っている事 もう一度 思い出せ	伙伴正等待著你 再一次回想起来吧
怖くはないさ 諦めはしない どんな凄いヤツにも	不会感到害怕 不会选择放弃 不管面对多厉害的家伙
負けはしない いつだって 本気の勇気で	也不会认输 无时无刻 都以认真的勇气
その手伸ばして 眩い明日を掴み取れ	伸出你的手来 紧紧抓住每个光辉耀眼的明天
無限の空 羽ばたけ believe in nexus	无限的天空 展翅高飞 believe in nexus
荒ぶるこの衝動 誰にも止めらんない	逐渐加剧的这份冲动 没有任何人能阻止
手に汗にぎる 攻防 高まる この heart beat	让人手心捏把汗的攻防 加速起来的这 heart beat
ビビっちまいそうなバトル 避けられない	无法避免 令人心惊胆跳的战斗
ここで終わらせたくない go for it	不愿到此为止 go for it
起ち上がれ 孤独に怯え震えないで	振作起来吧 不要对孤独颤抖怯懦
仲間が待っている事 もう一度 思い出せ	伙伴正等待著你 再一次回想起来吧
怖くはないさ 諦めはしない	不会感到害怕 不会选择放弃
どんな凄いヤツにも	不管面对多厉害的家伙
負けはしない いつだって 本気の勇気で	也不会认输 无时无刻 都以认真的勇气
その手伸ばして 眩い明日を掴み取れ	伸出手紧紧抓住那眩目耀眼的明天
仲間が待っている事 もう一度 思い出せ	伙伴正等待著你 再一次回想起来吧
怖くはないさ 諦めはしない	不会感到害怕 不会选择放弃
どんな凄いヤツにも	不管面对多厉害的家伙
負けはしない いつだって 本気の勇気で	也不会认输 无时无刻 都以认真的勇气
clarinet中 ヒデヒト	bass clarinet有馬理絵
透明な仮面を付けられようだった	像被戴上了透明的假面
見えない 見せない 	看不见 望不穿
真実ほんとうのことさえ	甚至连真相也是如此
確かなものが揺らぎ始めたとしたら	如果连真相都开始动摇
誓いの旗はたをどこに立てろと	还能妄谈什么坚定的誓言呢
この身に刻まれた運命さだめが導く	被注定的好的命运牵引
抗あらがう鼓動こどうの先へ	前往反抗的尽头
この手を今伝ってる 熱い血が走るように	如今抓紧这双手 仿佛热血沸腾
鎖くさりを手網に変え 強く	将这锁链化为缰绳变更强
孤独をただ認める それが意志を持つこと	只认同孤独 那是意志的证明
足枷付けられても 高く	即使双脚戴着枷锁也要飞翔
believe my dice きっと答えなど無いだろう	believe my dice 一定没有所谓的答案吧
だから譲れない 賽を振るのはこの手だと	所以绝不退让 因为决定命运的一定是这双手
遠くまで走れば拭い去れただろうか	若是跑向远方身影会消失不见吧
背中に絡んだ影は未来だった	缠绕在背后的影子曾是我的未来
安寧にい生きることも許されないなら	若是连安逸的生活下去都不被允许的话
いっそ全てこの命に従えようか	干脆就这样听天由命吧
契ちぎりを交わすのは己おのれと決めたら	如果交换契约是我自己的决定
闇にさえ踏み出せよ	就算身处黑暗也会大步向前
この目が今定める 厚い雲の向こうへ	如今的目光已然坚定 向着厚厚的云层对面
光らずとも光があると	无论光明与否
迷いの中進もう それが道になること	在迷茫中前进吧 这是必经之路
見えないほど確かな明日へ	前往明确的未来
believe my dice いつも転がる目に託たくして	believe my dice 寄托于这灵活的目光
全てを委ゆだねよう 賽を振るのがこの手なら	将一切交给我吧 如果决定命运的是这双手的话
消えない陽炎は	消不去的阳炎
誰にも揺らめく	将折射出的人影摇动
惑まどわされ裏切られそれでもまた	即使被迷惑被背叛也会
歩き出せるのさ	继续我向前的脚步
この手を今伝ってる 熱い血が走るように	如今抓紧这双手 仿佛热血沸腾
鎖くさりを手網に変え 強く	将这锁链化为缰绳变更强
孤独をただ認める それが意志を持つこと	只认同孤独 那是意志的证明
足枷付けられても 高く	即使双脚戴着枷锁也要飞翔
believe my dice きっと答えなど要らないさ	believe my dice 一定不需要所谓的答案吧
信じるものはそう 賽を振るこの手だけだろう	坚信着的一定是 可以决定命运的只有这双手吧
風に膨らむ制服のシャツ 坂道駆けだし	制服的衬衫被风吹得鼓起 从坡道上奔跑而下
朝一番の体育館 誰もいないの	清晨最先来到空无一人的体育馆
少し冷たい空気でね 寝ぼけた気持ちが	空气还是带着些许寒冷呢 虽然迷迷糊糊地没有完全清醒
晴れてきたから きっと今日も素敵なことが起こりそう	但渐渐放晴的天空预示着今天肯定会发生什么美妙的事情
青春のキラメキは 一瞬の光	青春闪耀的光芒转瞬即逝
本当ですか	是这样吗
わたしにできることは	任何我能够做到的事情
何でもやってみたいの	都想要去尝试呢
迷い不安でもね	虽然也会有着迷茫和不安
後悔したくない	但最重要的是不要让自己后悔
わかってます	我知道的啊
控えめな正確も少し変わっていけたら	如果能改变这过于小心谨慎的性格 即使只是些许
笑顔も増えます	也会绽放出更加灿烂的笑容
でしょうか	是这样吧
心つかんで離さない 誘惑のメロンパン	我的心已被牢牢抓住 无法离开那充满魅力的蜜瓜包
乙女心が負けちゃいそう 誰もいないよ	少女心仿佛就要败下阵来 谁也不在哦
どちらにするの揺れる想い 未来と引き換え	该选哪个呢 飘摇的思绪 和未来做个交换
二律背反 ムズかしい しっかりしなきゃダメです	二律背反 好难理解啊 必须要认真起来了呢
青春の悩みなんて 一瞬の迷い	青春的烦恼也只不过是一瞬间的迷茫而已
本当ですか	是这样吗
信じて手にしたもの 大事に育てたいよ	想要用心地去培养 那坚信着并握在手中的事物
強い想いだって	强烈的信念
後悔したくない	只因为不想让自己后悔
予想できない	无法预测
10年後20年後もあっという間て言うけど	虽然说十年后二十年后也都是弹指之间的事情
笑顔でいさせて ください	但还是请让我保持笑容吧
キラメキは どこまでも	任何地方都有着闪耀的光辉
わたしにできることは 何でもやってみたいの	任何我能够做到的事情 都想要去尝试呢
迷い不安でもね	虽然也会有着迷茫和不安
後悔したくない	但最重要的是不要让自己后悔
わかってます	我知道的啊
控えめな性格も少し変わっていけたら	如果能改变这过于小心谨慎的性格 即使只是些许
笑顔も増えます でしょうか	也会绽放出更加灿烂的笑容 是这样吧
 紫に染まる夜明け まっさらな空	染上殷紫murasaki的黎明 崭新的天空
 羽ばたいた鳥の影 ブルーの彼方へ	鸟儿展翅的身影 迈向湛蓝的彼方
 オレンジの陽の光 グリーンライムのざわめき	橙橘orange的阳光 柠绿色green的吵闹声响
 揺らめいたピンクの羽 君に届け	将随风摇曳的粉色pink飞羽 传递给你
 不安な恋を ミルクのフレーバー	将不安的恋情 添上牛奶milk的风味
 空に溶かせば きらめく七色のrainbow	溶解在天空的话 一定是七色闪耀的彩虹finale
 胸の鼓動が高鳴ってるのは	让内心这份鼓动逐渐高涨的 是谁的错
 誰のせいってわかってるでしょ	应该显而易见吧
 消えないで 覚めないで	请不要消失 请不要遗忘
 色とりどりの光を集めて	收集各样色彩的光芒
 大空だってひとっ飛びなの	就连天空也可以在一瞬间抵达
 逃げないで つかまえて 見つめて	请别逃走 让我抓住 让我找寻
 dragons palaceの夜 neo japanese	龙宫的夜晚 新生之人
 スペシャルな予感は恋するdarjeeling	喝着大吉岭茶 这特殊的预感就是恋爱吧
 juicyな蜜の味 秘密のstrawberry	秘密的草莓 如多汁的蜂蜜般甘甜
 partyを抜け出して キミの元へ	离开派对 去往你的身边
 誰も知らないkissを教えて	告诉我吧 无人知晓的亲吻
 空に祈れば 輝く 七色のrainbow	向着天空祈愿 光芒闪耀的七色彩虹
 胸の鼓動が鳴り止まないのは	让内心这份鼓动逐渐高涨的
 キミのせいって気付いてるでしょ	就是你的错 早就注意到了吧
 企んで 微笑んで	计划着 微微笑着
 色とりどりのリズムに併せて	混合起各种各样的颜色
 確かめたいスペクトルなの	是在确认彩虹的光波呀
 囁いて ときめいて 感じて	悄悄低语着 心跳着 去感受吧
 モノクロームの世界じゃなくて	这世界并非只有黑白
 始まりだって教えてくれた	你是这样开始告诉我的
 手を取って 導いて	牵着我的手 引领着我
 虹の向こうの未来は何色	彩虹彼方的未来会是什么颜色
 二人だけのスペクトルなの	会是只属于两人的光波吗
 きらめいて 瞬いて 見つめて	闪耀眩目 熠熠生辉 就这样凝望着
 色とりどりの光を集めて	七彩的光芒 汇聚一处
 大空だってひとっ飛びなの	连天空也能转瞬抵达
 逃げないで つかまえて 見つめて	不要逃避 让我抓住 让我找寻
夢はやりかけのジグゾー 	未完成的梦想拼图
今は形さえ見えない	现在还看不到形状
いくつも迷い 	曾几次迷茫曾几次受伤
輝く明日を待ってる 	我也在等待着耀眼的明天
はてしないこの空に両手広げて	在这无尽的天空下张开双手
感じてる 胸に溢れるエナジー 	感受的到 从胸中溢出来的能量
ジャケットをなびかせて走り出そう	夹克飘扬 奔跑起来
心 翼に変えて 	让心灵 变成翅膀
きっと繰り返す毎日 	必然反复的每一天
同じものなんてないはず 	明明不应该存在相同的事物
交差点から 日の当たる坂道 	从交界点开始 夕阳下的坡道
全てが 予感をくれるの 	全部都 给予了我一种预感
この胸にrevolution 街の中で 	在这街道里 胸中的revolution
ありのまま 感じ始めたリズム 	正因为如此开始感觉到了节奏
真っ白いキャンバスを 染めて行こう 	让我们染成纯白色的画布
夢の絵の具浮かべて	梦想中的绘画 浮现出了笑容
はてしないこの空に両手広げて 	在这无尽的天空下张开双手
感じてる 胸に溢れるエナジー 	感受的到 从胸中溢出来的能量
ジャケットをなびかせて走り出そう 	夹克飘扬 奔跑起来
心 翼に変えて	让心灵 变成翅膀
ときめきはrevolution 青い空に 	在蓝天下 小鹿乱撞的revolution
憧れを自由に描くエナジー 	憧憬着能够自由描绘的能量
真っ白いキャンバスを 染めて行こう 	让我们染成纯白色的画布
夢の絵の具浮かべて	梦想中的绘画浮现出了笑容
そばにいても離れててもどこにいてもずっと	无论身处何处
あなたのこと思っている私がいるから	我永远思念着你
いつも感じてて	永远感受着你的一切
迷路の出口どこなのか誰も知らずに走ってる	向着无人知晓的迷宫出口奔跑着
ほんとうはすぐそこにあっても気がつかずに	即使近在眼前却未曾察觉
夢破れてもはぐれてもやり直せるよ いつだって	无论在什么时候即使梦想破灭也可以重头再来
何もかも振り出しまで戻ったとしても 	当一切回到了原点
あなたの輝き 強くなる度 私のこと変えてゆく 	你的光芒 每次都会使我变得更坚强
倒れそうなとき 思い出してね あなたは今ひとりきりじゃないこと	所以在快要倒下来的时候请相信你不是一个人
止まらないで 迷わないで 見えない明日でも	不要放弃 不要迷茫 即使看不到未来
向かって行くその姿は誰にも負けない	你前进的姿态不会输给任何人
そばにいても離れててもどこにいてもきっと	无论身在何处
同じ空に羽ばたいてる私がいること	都有我和你一起展翅在片天空之下
いつも感じてて	永远感受着你的一切
そばにいても離れててもどこにいてもずっと	无论身在何处
あなたのこと思っている私がいるから	我永远思念着你
そばにいても離れててもどこにいてもきっと	无论身处何处
同じ空に羽ばたいてる私がいること	都有我和你一起展翅在片天空之下
いつも感じてて	永远感受着你的一切
まだ何も知らない 二人だった	那时的你我 尚还天真无知
左手で儚く 虚無を弄った	伸出左手 尝试探寻那虚幻空无之物
僅かな葛藤が 君の手を縛って	些许的纠葛 便将你的双手束缚
未来の姿を欺く	伪装成未来的模样
守ることさえ知らないけど	虽然连守护为何物亦未知晓
偽りの理想おもいでも構わない	纵使这只是虚假的理想也无所谓
生きてみたい 自分を	我亦要活出自己的人生
巡り来る 時の中で出会った	你我相逢在周而复始的时光中
君といた僕を信じている	我试着去相信有你相伴时的自己
この夢が優しく果てるまで	直至梦境幸福地落幕
切り開け蒼い日々をfight your fate	创造出湛蓝的岁月 与你的命运抗争
静かな夜に そっと灯した 言葉だった	静谧的深夜 幽幽地闪烁着 
冷たい雨のように落ちる	言语宛若凄冷的雨珠般
白い月の光の中で	淅淅洒落在皎洁的银皎中
信じること だけを信じた	相信的事物 只需去坚信
眩しいほど強く 夜を照らす光だった	光芒照耀着黑夜 太过眩目耀眼
思いを繋ぐよ	令你我的情感紧系相连
まだ僕は知らない	我尚未知晓
哀しみが運命さだめの果てに描く	在那悲切命运的尽头
虚無の姿を	描绘出的是虚空缥缈的形态
願いの残像が ノイズのように降って	愿望的残像 宛若杂音般纷纷坠落
古びた思いも見えない	尘封的回忆亦消逝不见
それでも君が笑ったから	纵然如此 只因你的笑
どうしても捨てられない未来	无论如何也无法割弃未来
生きてゆこう 自分を	我要勇敢地活下去
過ぎて行く時の中で出会った	你我在已然消逝的时光中相逢
変わりゆく僕を信じている	我坚信改变后的自己
この夢が果てるその先まで	在这理想终结前
切り開け蒼い日々をfight your fate	定能创造出湛蓝的未来 与你的命运抗争
状況は黒 視界は白	现状一片漆黑 视界仅剩空白
 加速していく 思考は盲目	就如此加速 思考早已盲目
 手繰るは糸 補完をしろ	用手上所缠之线 填补一切
 摩耗していく 思想は冒涜	不断将思想消耗 此乃亵渎
 灰になって 消えてしまえたら	倘若化作尘埃 随风而消逝
 鳥になって どこか飛び去れたら	倘若化作鸟雀 振翅而高飞
 最期の時まで 振り絞る矢のように	直至最后一刻 宛如脱弓而出的箭矢
 祈りも 誓いも 押し込めたまま	将祈祷与誓言 闭口不言
 誰か愛を教えて 言葉を尽くして	谁来告诉我如何去爱 用尽言语
 何も知らない誰かが	这只是一无所知的某人
 何かを知るその為だけに	为了知晓所寻求的
 im your believer 心を繋いで	我是你的信徒 我们以心连心
 何もかもが弾ける	一切都尽数崩塌
 貴方が笑っている	而你面露微笑
 泣けない夜の先に願った	在无法哭泣之夜到临前祈愿
 想像は不要 互換は理想	放弃妄想 贴近现状才是理想
 加工していく 心の冒涜	妄加修饰 此乃对心的亵渎
 花になって ただ風に揺られたら	倘若化作花朵 于风中摇曳
 蝶になって ヒラヒラ踊れたら	倘若化作蝴蝶 舞翅以飞扬
 最期の時まで 間違っても良かったと	直至最后一刻 也觉得错误也无所谓
 希望も 期待も 古びた器に	将希望与期待 放置陈旧器皿内
 ならば愛を教えて 想いを尽くして	那请告诉我如何去爱 竭尽思索
 何も持たない誰かが	这只是一无所有的某人
 何かを得るその為だけに	为了获得所寻求的
 心を閉ざして	将心扉紧闭
 何もかもが流れる	一切都逐渐流逝
 貴方が悔やんでいる	而你后悔莫及
 泣いていた夢の中で願った	于落泪的梦中许下愿望
 何度壊れても 何度砕けても	无论跌倒受挫多少次
 それでもただきっと	即便如此也一定会
 そこに立つのでしょう	原地站起的吧
 ならば愛を教えて 命を数えて	那请告诉我如何去爱 漏尽钟鸣
 誰か教えて	谁来告诉我
 言葉を尽くして	用尽言语
 想いを尽くして	竭尽思索
 誰か愛を教えて 言葉を尽くして	谁来告诉我如何去爱 用尽言语
 何も知らない誰かが	这只是一无所有的某人
 何かを知るその為だけに	为了知晓所寻求的
 心を繋いで	我们以心连心
 何もかもが弾ける	一切都尽数崩塌
 貴方が笑っている	而你面露微笑
 泣きたい夜を越えて出会った	将欲泣之夜跨越而相逢
 祈ったbeliever	虔诚祈祷的信徒
自分でも止められない	连自己也停不下来
誰のためでもない just for me	不为他人仅为了自己
im in love ぶっといcigarに稼いだsome money	我爱上了你 点起粗大的雪茄又拼命赚着那点钱
真っ赤なferarriでdriving highway 都会抜けspeedゆったり	飚着红色法拉利 肆意加速穿过城市
人気ない oasis my onlyくつろげるplace ここにしかない	人迹稀罕的绿洲 专属于我的安逸乐土
100万ドルのどの夜景にもかなわない	动辄百万所见的夜景亦无法比拟
だからその他いらない	因而无欲其他
why u haters すぐに口出し	脱口而出了为何
つまらないことばかり 言うのうんざり	又烦透那些就没断过的无聊牢骚
赤の他人に言われたくない	不想被傲慢清高的人指手画脚
俺のstyleに必要ないyour advises	这就是我的作风而你的意见根本不必
いつもタイトなままでdo it right	行事往往充实且得心应手
soタフでラフ もうenough	坚强随心便已足够
自分でも止められない	连自己也停不下来
誰のためでもない just for me	不为他人仅为了自己
自分でも止められない	连自己也停不下来
誰のためでもない just for me	不为他人仅为了自己
i aint a girl その辺のfake diva	我和那边的伪天后不同
舐めてかかんないで all believers	所有信仰者都别再继续舔舐
野球で言ったら im a cleaner	说起棒球那我就是清扫者
9回裏閉める最後のreliever	第九局后半场会关起最后的救济
g13とヒットかますさ お顔ニヤッと	g13安全上垒 随后付之一笑
この音あれば文句ないさ	唱着这首歌也不会再有抱怨
あんたらはただのpaper並	你们只是单纯的废纸
薄っぺらのwords ペラペラ並べ	上面陈列着排排肤浅字句
昼夜暇そうにしてるうるせい奴	整日游手好闲叽叽喳喳的家伙
はあああ たまってた	哈阿 终于说出了
こと言ってやった 心底yeah yaa	积压已久的话 打心底高兴
i go all the way 私なりの手	我会坚持到底 以自己的手段
使って見せるさshow time	做给你看 现在是见证时间
自分でも止められない	连自己也停不下来
誰のためでもない just for me	不为他人仅为了自己
とまでは行かねぇが smoking a cuba産	虽不可行但好歹是古巴产
そんくらいがちょうどいい	那种程度就刚刚好
自分でも止められない	连自己也停不下来
誰のためでもない just for me	不为他人仅为了自己
自分でも止められない	连自己也停不下来
誰のためでもない just for me	不为他人仅为了自己
優you 勝ち負けじゃない最強のcard	优you 无关胜负最强的card
遊you スピード全開 ハラハラ on the game	游you 速度全开 扣人心弦 on the game
揺れる ma ma ma mind	摇动的 ma ma ma mind
魂のペンデュラム 究極のコンフュージョン	魂之灵摆 究极的融合
衝動がgot it got it 勝負はガチガチ	冲动got it got it 胜负一触即发
本気レボリューション	认真地展开革命
everybody goin 壁を突き破れ	everybody goin 突破那道障壁
むげんだいのフューチャー 迷いはぶっ飛ばせ	无限大的future 将迷茫甩开
make it make it 勇気出してbreak it now	make it make it 拿出勇气来break it now
step ahead 踏み出せよdo it now	step ahead 露出步伐do it now
お楽しみはこれからだ so 誰もが believer	好戏现在才要开始呢so 谁都能是 believer
友you 冴えないeveryday	友人you 黯淡无光的日常中
ピンチはchance	危机即是良机
勇you ファイティンポーズで	勇气you 维持着战斗的姿态
優you 勝ち負けじゃない	优秀you 并不在于胜负结果
最強のcard	手握最强之卡
遊you スピード全開	游戏you 速度全开
揺れる ma ma ma mind	摇动的 心 心 心 心灵
魂のペンデュラム	与那魂之灵摆
究極のコンフュージョン	最终仍是迷茫一片
衝動がgot it got it	试着理解那份冲动
勝負はガチガチ	战斗中激烈角逐
本気レボリューション	认真地展开革命
everybody goin 壁を突き破れ	任何人都能去突破那道障壁
のフューチャー	未来有无限大的可能性
迷いはぶっ飛ばせ	将一切迷惘抛在身后吧
make it make it 勇気出してbreak it now	去完成它吧 拿出勇气来 此刻就打破障壁
step ahead 踏み出せよdo it now	先人一步 踏出步伐去 此刻就立即行动
お楽しみはこれからだ	好戏现在才要开始
so 誰もが believer	所以 任何人都能是信者
湧you toughなリアルも	涌动you 无法逃离现实
逃げない気持ち	心中这份悲伤的感情
融you みなぎるpowerで	融合you 以满溢的力量
感じて do the game	创造游戏真实感受
想像はlike it like it	与想象之中一般无二
easyなlucky lucky	轻易取得幸运女神的眷顾
現実じゃコンフュージョン	现实却是迷茫一片
超super シャカリキ	超超级充满干劲
全力レボリューション	以全力展开革命
いつの间にか言叶を	不知不觉将言语
今の今まで隠してた 途中 途中	隐藏至今的路途
涙の中気づいた 	哭泣时注意到
君が仆に话しかけた	你向我搭话
涙の日々は分かるが	懂得眼泪的日子
流れるには意味があるの	懂得流淌的意义
未来はまだ分からないが	虽不可预知未来
歩けるなら进めばいい	不断前进便足矣
走り出す感情も	奔涌迸发的感情也好
止まらない冲动も	无法抑制的冲动也好
続いて続いて	继续 继续
ほらもう少し	看啊 就差一点
当たり前が崩れて	理所应当崩溃
子供のように嫌ってた 途中 途中	像小孩一样讨厌的路上
昨日までの明日は	到昨天为止的明天
そっと仆に话した	对我耳语
探しものは见えないかな	看不见所求之物吗
形のないモノもあるよ	也有无形的存在喔
宛てないメールの数だけ	只有无目的的邮件数量
消せぬ想いに気づいてよ	注意到无法消散的感情
鸣らないベルを待つ日々も	等待无声铃音的时候也
望めばキラキラな日々よ	期盼闪闪发光的日子
走り出す感情も	迸发的感情也好
駆け抜ける冲动も	奔涌的冲动也好
信じて信じて	相信着 坚信着
あともう少し	再一点就好
溢れ出す感情が	满溢而出的感情
景色を変えてく	将景色改变
君まで君まで	直到你 到你为止
ほらもう少し	看啊 只差一点了
咲き乱れたい 刹那の永遠に 桜のようで愛しく	好想灿烂绽放 在刹那之永恒中 如同樱花般美丽
側に桜が 存在時のわたしは	当樱花在身旁时的我
咲き乱れたい 刹那の永遠とわに	好想灿烂绽放 在刹那之永恒中
桜のようで愛しく	如樱花般美丽
側そばに貴方あなたが 存在いる時のわたしは	当你相依在身旁时的我
咲き乱れたい 刹那の永遠とわに 桜のようで愛しく	好想灿烂绽放 在刹那之永恒中 如同樱花般美丽
傍に桜あなたが 存在いる時のわたしは	当樱花在身旁时的我
抜け出せない game show	思考回路 freeze
ハイヤイ forces	嗨咿呀咿 力量哟
癒えない地上の血に洗われて眠る	在不癒的地上之血的洗礼下进入梦乡
星よ壮絶に 物語れ この夜を	繁星啊 壮烈地 道出这一夜吧
忘れはしない キミのことは	我绝不会忘记的 你的存在
凍えて夜を ただひとり生き	冻得僵硬 在夜晚孤身一人生存
消えない声よ今 	不灭之声啊于此
蘇れ力へと	向力量觉醒吧
君の声が聞こえた	听到了你的声音
深い底に落ちていく	落入深渊
僕の声は何処かへ	我的声音在何处
吸い込まれた黒の世界に	在被吸入的黑色世界里
最後に一言残して行った	最后留下了一句话
面影追いかけ伝えた想いを	追逐着面影传达的思念
忘れた名前を記憶に刻んで	将遗忘的名字刻在记忆里
どこかでもう一度逢えるように	为了在某个地方再次相逢
